0.0,114129582
0.1,137002839
0.2,193854621
0.3,178622283
0.4,195526547
0.5,203007308
0.6,187209724
0.7,185888267
0.8,210061616
0.9,185901561
1.0,249946099
1.1,162808562
1.2,112414069
1.3,192033940
1.4,172805452
1.5,208747295
1.6,218834990
1.7,175815436
1.8,183077614
1.9,184891457
2.0,202333540
2.1,175141860
2.2,188928180
2.3,237631009
2.4,238929459
2.5,166408750
2.6,150992045
2.7,192276677
2.8,170221087
2.9,204267740
3.0,183428623
3.1,174709336
3.2,264483716
3.3,215020724
3.4,175608643
3.5,168320910
3.6,158866662
3.7,173900923
3.8,203243366
3.9,227311982
4.0,206191282
4.1,195675883
4.2,198104100
4.3,172216336
4.4,162565801
4.5,268073904
4.6,272961298
4.7,153936772
4.8,195402058
4.9,211185375
5.0,189011599
5.1,234738232
5.2,207264584
5.3,194951573
5.4,219454959
5.5,168849404
5.6,229633678
5.7,201001853
5.8,181605041
5.9,223950557
6.0,179749457
6.1,257098303
6.2,197964742
6.3,175153968
6.4,133582686
6.5,159468761
6.6,156113632
6.7,207390574
6.8,201217657
6.9,128205276
7.0,145481895
7.1,121684907
7.2,140327070
7.3,155309180
7.4,139966429
7.5,189525968
7.6,176719415
7.7,159000541
7.8,163918100
7.9,195275111
8.0,207164635
8.1,148550945
8.2,116183304
8.3,170190008
8.4,187120503
8.5,190829073
8.6,212541744
8.7,197972764
8.8,124386151
8.9,195870441
9.0,156118843
9.1,186444616
9.2,138637952
9.3,184970373
9.4,206370438
9.5,212446981
9.6,175563008
9.7,189654549
9.8,175576445
9.9,190521069
10.0,197782286
10.1,184194064
10.2,189688359
10.3,190067494
10.4,193858319
10.5,203915245
10.6,171786329
10.7,178002608
10.8,204520499
10.9,168027920
11.0,201459853
11.1,187061811
11.2,183643318
11.3,158582698
11.4,164362877
11.5,157175413
11.6,194331331
11.7,151949514
11.8,162249084
11.9,178048678
12.0,162928617
12.1,152645227
12.2,157126409
12.3,163029905
12.4,161949939
12.5,206206176
12.6,171300412
12.7,179621823
12.8,180647119
12.9,227893050
13.0,158095916
13.1,166774163
13.2,214182243
13.3,218248661
13.4,170497862
13.5,175941658
13.6,144007416
13.7,141838596
13.8,168368053
13.9,171654828
14.0,50145926
14.1,172487992
14.2,166240909
14.3,197510738
14.4,187344465
14.5,184443947
14.6,219026255
14.7,143642515
14.8,141450853
14.9,169954571
15.0,138400023
15.1,157104686
15.2,175125996
15.3,140979564
15.4,170667410
15.5,153077868
15.6,167876152
15.7,175802863
15.8,151073016
15.9,165926005
16.0,153881909
16.1,153318642
16.2,167429780
16.3,147237313
16.4,157643906
16.5,160251139
16.6,139072301
16.7,182095675
16.8,144359533
16.9,149826136
17.0,182409468
17.1,160134572
17.2,166610874
17.3,182728845
17.4,153866502
17.5,181166932
17.6,160905406
17.7,145586948
17.8,168738298
17.9,161984608
18.0,201037026
18.1,225697614
18.2,245011063
18.3,216153160
18.4,185575043
18.5,174235610
18.6,161570954
18.7,160304700
18.8,161682598
18.9,159608117
19.0,158585991
19.1,162751276
19.2,175036086
19.3,198983252
19.4,246482264
19.5,196778164
19.6,203714109
19.7,198891799
19.8,208374429
19.9,192603447
20.0,163283308
20.1,189927275
